License_Certification,Category,Issuing_Authority,Cost,Official_Free_Training_URL,Aura_Level_1_10,Time_to_Complete,Notes
Boating Safety Certificate (State-Approved),Boat,State DNR/BoatUS Foundation,Free (course) + state card fee ($10-$50),https://www.boatus.org/free-courses/free-boating-safety-course/,7,4-8 hours,NASBLA-approved for most states. Required in many states to operate a boat
FAA TRUST Certificate (Recreational Drone),Drone,FAA via Pilot Institute,Free,https://trust.pilotinstitute.com/,6,30-60 min,Mandatory for ALL recreational drone pilots in the US. Instant certificate
FAA Part 107 (Commercial Drone Pilot),Drone,FAA,$175 exam fee,https://www.faa.gov/uas/commercial_operators,9,20-30 hours study,Commercial drone license — can get paid to fly. Free FAA study guide at faa.gov
SKYWARN Storm Spotter,Weather/Disaster,NOAA / National Weather Service,Free,https://www.weather.gov/skywarn/,8,2 hours (in-person) or online,Official NOAA program. 350-400K trained spotters nationwide. Online course available
HAM Radio Technician License,Radio,FCC via ARRL,$15 exam fee,https://www.arrl.org/getting-licensed,8,10-20 hours study,Entry-level ham radio. Free practice exams at hamstudy.org. 35-question test
FEMA IS-100.c (Intro to Incident Command),Emergency Management,FEMA,Free,https://training.fema.gov/is/courseoverview.aspx?code=IS-100.c,6,2-3 hours,Nationally recognized. Prereq for disaster volunteering
FEMA IS-200.c (Basic Incident Command),Emergency Management,FEMA,Free,https://training.fema.gov/is/courseoverview.aspx?code=IS-200.c,6,3-4 hours,Builds on IS-100. Required for emergency responder roles
FEMA IS-700.b (National Incident Management),Emergency Management,FEMA,Free,https://training.fema.gov/is/courseoverview.aspx?code=IS-700.b,6,3 hours,NIMS intro. Required for virtually all emergency response positions
FEMA IS-800.d (National Response Framework),Emergency Management,FEMA,Free,https://training.fema.gov/is/courseoverview.aspx?code=IS-800.d,6,3 hours,National response framework. Required for disaster response
CERT (Community Emergency Response Team),Disaster/FEMA,FEMA + Local Fire Depts,Free,https://community.fema.gov/PreparednessCommunity/s/cert,7,20-30 hours (8 sessions),In-person training. Light search & rescue + disaster medical ops
Amateur Radio General License,Radio,FCC via ARRL,$15 exam fee,https://www.arrl.org/general-license,9,30-50 hours study,Global HF radio privileges. Requires Technician first
Wilderness First Aid,Medical,NOLS / Red Cross / ECSI,$200-$350,https://www.nols.edu/en/coursefinder/,8,16 hours (2-day course),Not free but high aura. Treat injuries far from help
Avalanche Safety Level 1 (AIARE 1),Outdoor/AIARE,AIARE,$500-$600,https://avtraining.org/,9,24 hours (3-day course),Backcountry snow safety. Required for guided trips
SCUBA Open Water Diver,Diving,PADI / NAUI / SSI,$400-$600,https://www.padi.com/courses/open-water-diver,9,4-7 days (pool + open water),Entry-level diving cert. Lifetime certification
CPR / AED / First Aid,Medical,American Red Cross / AHA,$35-$75,https://www.redcross.org/take-a-class/cpr,7,2-4 hours,Sometimes free at community events. 2-year cert
LNT Master Educator,Camp/Outdoor,Leave No Trace,$800-$1000,https://lnt.org/learn/,6,5 days,Become certified to teach Leave No Trace to others
Rope Rescue Technician,Technical Rescue,NFPA / State Fire Academy,Varies (often employer-paid),https://www.nfpa.org/,8,Weeks,Aura if you do technical rescue. Often fire dept path
